,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type
386,C020,RL,60.0,7200,3,Low,3,Inside,2,CollgCr,Norm,1Fam,1Story,5,8,1972,1972,Gable,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,3,1,4,437.0,1,0.0,427.0,864.0,4,4,864,0,0,864,0.0,0.0,1,0,3,1,2,7,0,Detchd,1,297.0,3,3,2,0,0,0,0,0,0,3,0,3,2006,WD 
387,C020,RL,108.0,12228,3,Lvl,3,Corner,2,NridgHt,Norm,1Fam,1Story,7,5,2006,2006,Hip,VinylSd,VinylSd,Stone,206.0,3,2,PConc,5,4,1,1,0.0,1,0.0,1721.0,1721.0,4,4,1740,0,0,1740,0.0,0.0,2,0,4,1,3,7,0,Attchd,2,874.0,3,3,2,0,43,0,0,0,0,0,0,9,2006,New
388,C020,RL,78.0,10335,2,Lvl,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,6,1968,1993,Gable,Plywood,Plywood,None,0.0,2,2,CBlock,3,3,1,3,570.0,1,0.0,891.0,1461.0,3,4,1721,0,0,1721,0.0,0.0,2,1,3,1,2,6,3,Attchd,2,440.0,3,3,2,0,96,180,0,0,0,3,0,7,2006,WD 
389,C080,RL,69.0,12328,2,Lvl,3,Inside,2,Mitchel,Norm,1Fam,SLvl,6,5,1976,1976,Gable,HdBoard,HdBoard,BrkFace,335.0,2,2,CBlock,3,3,3,6,539.0,1,0.0,473.0,1012.0,2,4,1034,0,0,1034,1.0,0.0,1,0,3,1,2,7,0,Attchd,1,888.0,3,3,2,0,0,0,0,0,0,0,0,5,2010,WD 
390,C090,RM,68.0,8930,3,Lvl,3,Inside,2,Sawyer,RRAe,Duplex,1.5Fin,6,5,1978,1978,Gable,VinylSd,VinylSd,None,0.0,2,2,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,2,4,1318,584,0,1902,0.0,0.0,2,0,4,2,2,7,0,Attchd,1,539.0,3,3,2,0,0,0,0,0,0,0,0,4,2010,WD 
391,C020,RL,81.0,9672,3,Lvl,3,Corner,2,SawyerW,Norm,1Fam,1Story,6,5,1984,1985,Hip,HdBoard,Plywood,None,0.0,2,2,PConc,4,3,1,6,338.0,1,0.0,702.0,1040.0,2,4,1097,0,0,1097,0.0,0.0,2,0,3,1,2,7,0,Attchd,1,480.0,3,3,2,0,0,0,0,0,0,4,0,5,2010,WD 
392,C060,RL,120.0,13975,2,Lvl,3,Corner,2,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,VinylSd,VinylSd,BrkFace,525.0,3,2,PConc,4,3,3,1,0.0,1,0.0,1090.0,1090.0,4,4,1117,1089,0,2206,0.0,0.0,2,1,4,1,4,7,4,BuiltIn,3,670.0,3,3,2,148,95,0,0,0,0,0,0,8,2006,New
393,C080,RL,94.0,7819,3,Lvl,3,Inside,2,Edwards,Norm,1Fam,SLvl,6,5,1976,1976,Gable,Plywood,Plywood,None,0.0,2,2,CBlock,3,3,3,5,422.0,4,127.0,480.0,1029.0,2,4,1117,0,0,1117,1.0,0.0,1,0,3,1,2,7,3,Detchd,1,672.0,3,3,2,144,0,0,0,0,0,3,0,3,2010,WD 
394,C190,RM,60.0,11340,3,Lvl,3,Inside,2,OldTown,Norm,2fmCon,2Story,4,6,1885,1950,Gable,VinylSd,AsbShng,None,0.0,2,2,PConc,3,3,1,1,0.0,1,0.0,777.0,777.0,3,4,1246,1044,0,2290,0.0,0.0,2,0,4,2,2,7,0,Detchd,1,560.0,3,3,0,0,0,114,0,0,0,0,0,4,2010,WD 
395,C160,RM,21.0,1680,3,Lvl,3,Inside,2,BrDale,Norm,Twnhs,2Story,6,5,1972,1972,Gable,HdBoard,HdBoard,BrkFace,504.0,2,2,CBlock,3,3,1,5,276.0,1,0.0,207.0,483.0,2,4,483,465,0,948,0.0,0.0,1,1,2,1,2,7,0,Detchd,1,264.0,3,3,2,0,0,0,0,0,0,0,0,7,2006,WD 
396,C050,RL,65.0,6001,2,Bnk,3,Inside,1,SWISU,Norm,1Fam,1.5Fin,6,5,1940,1950,Gable,VinylSd,VinylSd,None,0.0,2,2,CBlock,2,3,1,2,368.0,1,0.0,232.0,600.0,4,4,600,319,0,919,0.0,0.0,1,0,3,1,2,7,0,Detchd,1,231.0,3,3,2,0,0,45,0,0,0,3,0,3,2010,WD 
397,C020,RL,78.0,11700,3,Lvl,3,Inside,2,NWAmes,RRAn,1Fam,1Story,6,6,1968,1968,Gable,MetalSd,MetalSd,BrkFace,41.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,912.0,912.0,4,4,1152,0,0,1152,1.0,0.0,1,1,3,1,2,7,0,Attchd,2,412.0,3,3,2,0,126,0,0,0,0,0,0,9,2007,CWD
398,C060,RL,102.0,12858,2,Lvl,3,Inside,2,NridgHt,Norm,1Fam,2Story,9,5,2009,2010,Gable,VinylSd,VinylSd,Stone,162.0,4,2,PConc,5,3,1,1,0.0,1,0.0,1590.0,1590.0,4,4,1627,707,0,2334,0.0,0.0,2,1,3,1,4,7,4,Attchd,3,751.0,3,3,2,144,133,0,0,0,0,0,0,1,2010,New
399,C020,RL,73.0,9300,3,Lvl,3,Inside,2,NAmes,Feedr,1Fam,1Story,5,5,1960,1960,Gable,MetalSd,HdBoard,BrkFace,324.0,2,2,CBlock,3,3,1,3,697.0,1,0.0,571.0,1268.0,2,4,1264,0,0,1264,1.0,0.0,1,0,3,1,2,7,4,Attchd,1,461.0,3,3,2,0,0,0,0,143,0,0,0,4,2010,WD 
400,C090,RL,64.0,7018,3,Bnk,3,Inside,2,SawyerW,Feedr,Duplex,SFoyer,5,5,1979,1979,Gable,Plywood,Plywood,Stone,275.0,2,2,CBlock,4,3,3,6,1086.0,1,0.0,0.0,1086.0,2,4,1224,0,0,1224,2.0,0.0,0,2,2,2,2,7,3,Detchd,1,528.0,3,3,2,120,0,0,0,0,0,0,0,6,2009,WD 
401,C070,RH,54.0,6629,3,Lvl,3,Inside,2,Edwards,Artery,1Fam,2Story,6,6,1925,1950,Gambrel,Wd Sdng,Wd Sdng,None,0.0,2,3,BrkTil,3,3,1,4,551.0,1,0.0,121.0,672.0,2,4,697,672,0,1369,1.0,0.0,2,0,3,1,2,7,0,Detchd,1,300.0,3,3,2,147,0,0,0,0,0,0,0,7,2009,WD 
402,C020,RL,75.0,10650,3,Lvl,3,Corner,2,CollgCr,Norm,1Fam,1Story,5,6,1976,1976,Gable,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,4,3,2,182.0,5,712.0,0.0,894.0,2,4,894,0,0,894,1.0,0.0,1,0,3,1,2,7,0,Attchd,1,308.0,3,3,2,365,0,0,0,0,0,3,0,2,2010,WD 
403,C160,FV,69.0,2117,3,Lvl,3,Inside,2,Somerst,Norm,Twnhs,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,216.0,3,2,PConc,4,3,1,6,378.0,1,0.0,378.0,756.0,4,4,769,804,0,1573,0.0,0.0,2,1,3,1,3,7,0,Detchd,1,440.0,3,3,2,0,32,0,0,0,0,0,0,6,2010,WD 
404,C060,RL,105.0,13650,3,Lvl,3,Corner,2,NridgHt,Norm,1Fam,2Story,8,5,2002,2002,Gable,VinylSd,VinylSd,BrkFace,232.0,3,2,PConc,4,3,4,6,578.0,1,0.0,1093.0,1671.0,4,4,1687,563,0,2250,1.0,0.0,2,1,3,1,3,7,5,Attchd,3,756.0,3,3,2,238,130,0,0,0,0,0,0,6,2010,WD 
405,C060,RL,42.0,8433,2,Lvl,3,Inside,2,Gilbert,Norm,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,6,683.0,1,0.0,111.0,794.0,4,4,819,695,0,1514,1.0,0.0,2,1,3,1,2,7,3,Attchd,3,394.0,3,3,2,0,72,0,0,0,0,0,0,6,2009,WD 
406,C160,RM,21.0,1680,3,Lvl,3,Inside,2,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CemntBd,CmentBd,BrkFace,236.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,672.0,672.0,2,4,672,546,0,1218,0.0,0.0,1,1,3,1,2,7,0,NA,0,0.0,0,0,0,201,0,0,0,0,0,0,0,4,2006,WD 
407,C190,RM,50.0,6000,3,Lvl,3,Inside,2,OldTown,Norm,2fmCon,1.5Fin,5,4,1954,1954,Gable,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,811.0,811.0,2,3,811,576,0,1387,0.0,0.0,2,0,3,2,3,7,0,BuiltIn,1,256.0,3,3,2,0,0,0,0,0,0,0,0,11,2009,WD 
408,C070,C (all),50.0,8500,3,Lvl,3,Inside,2,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0.0,2,1,BrkTil,3,3,1,1,0.0,1,0.0,649.0,649.0,2,4,649,668,0,1317,0.0,0.0,1,0,3,1,2,7,0,Detchd,1,250.0,3,2,0,0,54,172,0,0,0,3,0,7,2008,WD 
409,C070,RM,60.0,6882,3,Lvl,3,Inside,2,IDOTRR,Norm,1Fam,2Story,6,7,1914,2006,Gable,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3,3,1,1,0.0,1,0.0,684.0,684.0,2,4,773,582,0,1355,0.0,0.0,1,1,3,1,3,7,0,NA,0,0.0,0,0,2,136,0,115,0,0,0,0,0,3,2007,WD 
410,C030,C (all),66.0,8712,3,Lvl,3,Corner,2,IDOTRR,Norm,1Fam,1Story,4,7,1896,1950,Hip,Wd Sdng,Wd Sdng,None,0.0,1,1,CBlock,3,3,1,1,0.0,1,0.0,756.0,756.0,3,4,952,0,0,952,0.0,0.0,1,0,3,1,2,7,0,Detchd,2,330.0,3,3,0,0,0,265,0,0,0,0,0,6,2010,WD 
411,C020,RL,69.0,7917,2,Lvl,3,Corner,2,Edwards,Norm,1Fam,1Story,6,7,1976,1976,Hip,HdBoard,HdBoard,BrkFace,174.0,2,3,CBlock,3,4,1,4,751.0,1,0.0,392.0,1143.0,2,4,1113,0,0,1113,1.0,0.0,1,1,3,1,2,7,2,Attchd,2,504.0,3,4,2,370,30,0,0,0,0,4,0,5,2007,WD 
412,C030,RM,71.0,6900,3,Lvl,3,Inside,2,IDOTRR,Norm,1Fam,1Story,5,6,1940,1955,Gable,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,3,1,5,403.0,3,125.0,212.0,740.0,4,4,778,0,0,778,0.0,0.0,1,0,2,1,2,7,4,Detchd,3,924.0,5,5,2,0,25,0,0,0,0,0,0,2,2008,WD 
413,C050,RL,60.0,9900,3,Lvl,3,Inside,2,SWISU,Norm,1Fam,1.5Fin,6,7,1940,1950,Gable,VinylSd,VinylSd,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,778.0,778.0,2,4,944,545,0,1489,0.0,0.0,2,0,3,1,2,7,4,Detchd,1,240.0,3,3,2,335,0,0,0,0,0,2,0,7,2009,WD 
414,C020,RL,86.0,13286,2,Lvl,3,Inside,2,Edwards,Norm,1Fam,1Story,9,5,2007,2008,Hip,CemntBd,CmentBd,Stone,340.0,4,2,PConc,5,3,1,6,1234.0,1,0.0,464.0,1698.0,4,4,1698,0,0,1698,1.0,0.0,2,0,3,1,4,7,4,Attchd,3,768.0,3,3,2,327,64,0,0,0,0,0,0,2,2009,WD 
415,C070,RL,107.0,12888,3,Bnk,3,Inside,2,Sawyer,Feedr,1Fam,2Story,7,8,1937,1980,Gable,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,3,3,1,5,288.0,1,0.0,717.0,1005.0,2,4,1262,1005,0,2267,1.0,0.0,1,1,3,1,2,7,4,Attchd,3,498.0,3,3,2,521,0,0,0,0,0,0,0,4,2007,WD 
416,C020,RL,69.0,8885,2,Low,3,Inside,1,Mitchel,Norm,1Fam,1Story,5,5,1983,1983,Gable,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,3,3,4,301.0,5,324.0,239.0,864.0,2,4,902,0,0,902,1.0,0.0,1,0,2,1,2,7,0,Attchd,1,484.0,3,3,2,164,0,0,0,0,0,3,0,6,2006,WD 
417,C060,RL,62.0,8857,2,Lvl,3,Inside,2,Gilbert,Norm,1Fam,2Story,6,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,738.0,738.0,4,4,738,757,0,1495,0.0,0.0,2,1,3,1,3,7,4,Attchd,2,440.0,3,3,2,100,30,0,0,0,0,0,0,3,2007,New
418,C020,RL,53.0,14137,2,Lvl,3,Inside,2,Gilbert,Norm,1Fam,1Story,5,5,1996,1997,Gable,HdBoard,HdBoard,None,0.0,3,2,PConc,4,3,1,6,450.0,1,0.0,898.0,1348.0,3,4,1384,0,0,1384,1.0,0.0,2,0,3,1,3,7,0,Attchd,1,404.0,3,3,2,0,39,0,0,0,0,0,0,11,2008,WD 
419,C070,RL,53.0,6720,3,Lvl,3,Inside,2,Crawfor,Norm,1Fam,2Story,6,7,1921,1950,Gable,VinylSd,VinylSd,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,585.0,585.0,2,4,851,585,0,1436,0.0,0.0,1,0,3,1,2,7,4,Detchd,1,228.0,3,3,2,184,0,0,0,0,0,0,0,4,2007,CWD
420,C060,RL,60.0,7500,3,Lvl,3,Inside,2,Gilbert,Norm,1Fam,2Story,6,5,1998,1999,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,476.0,1,0.0,476.0,952.0,3,4,952,684,0,1636,1.0,0.0,2,1,3,1,2,7,3,Attchd,3,440.0,3,3,2,0,84,0,0,0,0,0,0,10,2009,WD 
421,C020,RL,63.0,13072,3,Lvl,3,Inside,2,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,5,941.0,1,0.0,217.0,1158.0,4,4,1158,0,0,1158,1.0,0.0,1,1,3,1,3,7,0,Detchd,1,576.0,3,3,2,0,50,0,0,0,0,0,0,5,2006,New
422,C020,RL,67.0,10656,2,HLS,3,Inside,2,Timber,Norm,1Fam,1Story,8,5,2006,2007,Gable,VinylSd,VinylSd,Stone,274.0,3,2,PConc,4,3,3,1,0.0,1,0.0,1638.0,1638.0,4,4,1646,0,0,1646,0.0,0.0,2,0,3,1,3,7,4,Attchd,2,870.0,3,3,2,192,80,0,0,0,0,0,0,11,2007,New
423,C050,RL,60.0,7200,3,Lvl,3,Corner,2,SWISU,Feedr,1Fam,1.5Fin,5,7,1937,1950,Gable,Wd Sdng,Wd Sdng,BrkFace,252.0,2,2,BrkTil,4,3,1,5,569.0,1,0.0,162.0,731.0,4,4,981,787,0,1768,1.0,0.0,1,1,3,1,3,7,3,Detchd,1,240.0,3,3,2,0,0,264,0,0,0,3,0,6,2007,WD 
424,C190,RL,80.0,8800,3,Lvl,3,Inside,2,NAmes,RRAn,2fmCon,1Story,6,7,1965,2000,Hip,BrkFace,VinylSd,None,0.0,2,3,PConc,3,3,2,5,901.0,4,252.0,34.0,1187.0,4,4,1565,0,0,1565,1.0,0.0,2,0,3,1,3,6,3,Attchd,2,299.0,3,3,2,200,25,211,0,0,0,3,460,6,2006,WD 
425,C075,RM,60.0,10800,3,Lvl,3,Inside,2,OldTown,Norm,1Fam,2.5Unf,7,7,1914,1970,Gable,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,4,3,2,3,390.0,1,0.0,490.0,880.0,1,4,880,888,0,1768,0.0,0.0,1,1,2,1,2,7,3,Detchd,1,320.0,3,3,0,0,341,0,0,0,0,0,0,10,2006,WD 
426,C190,C (all),50.0,9000,3,Lvl,3,Inside,2,IDOTRR,Norm,2fmCon,1.5Fin,5,6,1951,1951,Gable,WdShing,Wd Shng,None,0.0,1,1,CBlock,3,3,2,1,0.0,1,0.0,660.0,660.0,2,4,1060,336,0,1396,0.0,0.0,2,0,4,2,2,5,0,NA,0,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2006,WD 
427,C080,RL,80.0,13014,3,Lvl,3,Inside,2,Sawyer,Norm,1Fam,SLvl,6,5,1978,1978,Gable,HdBoard,Plywood,BrkFace,39.0,2,2,CBlock,3,3,3,5,528.0,1,0.0,480.0,1008.0,2,4,1096,0,0,1096,1.0,0.0,1,0,3,1,2,7,2,Attchd,1,484.0,3,3,2,168,0,0,0,0,0,0,0,12,2008,WD 
428,C060,RL,69.0,15896,1,Lvl,3,CulDSac,2,Gilbert,RRNn,1Fam,2Story,7,5,1999,1999,Gable,VinylSd,VinylSd,BrkFace,210.0,3,2,PConc,4,3,1,5,913.0,1,0.0,264.0,1177.0,4,4,1223,1089,0,2312,1.0,0.0,2,1,4,1,3,7,3,BuiltIn,3,658.0,3,3,2,298,0,0,0,0,0,0,0,5,2009,WD 
429,C120,RL,41.0,5395,2,HLS,3,Inside,2,StoneBr,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,HdBoard,HdBoard,None,0.0,3,2,PConc,4,3,1,6,733.0,1,0.0,604.0,1337.0,3,4,1337,0,0,1337,1.0,0.0,2,0,2,1,3,7,3,Attchd,2,462.0,3,3,2,96,0,70,168,0,0,0,0,10,2008,WD 
430,C160,FV,69.0,5105,1,Lvl,3,FR2,2,Somerst,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,MetalSd,MetalSd,None,0.0,3,2,PConc,4,3,1,6,239.0,1,0.0,312.0,551.0,4,4,551,551,0,1102,0.0,0.0,2,1,2,1,3,7,0,Detchd,1,480.0,3,3,2,0,60,0,0,0,0,0,0,3,2007,WD 
431,C060,RL,75.0,9473,3,Lvl,3,Inside,2,CollgCr,Norm,1Fam,2Story,8,5,2002,2002,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,804.0,1,0.0,324.0,1128.0,4,4,1128,903,0,2031,1.0,0.0,2,1,3,1,3,7,4,Attchd,2,577.0,3,3,2,0,211,0,0,0,0,0,0,3,2008,WD 
432,C030,RL,60.0,8400,3,Bnk,3,Inside,2,SWISU,Norm,1Fam,1Story,2,5,1920,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,2,1,3,290.0,1,0.0,0.0,290.0,2,2,438,0,0,438,0.0,0.0,1,0,1,1,1,7,0,Detchd,1,246.0,3,3,0,0,0,0,0,0,0,0,0,1,2009,WD 
433,C085,RL,64.0,12102,3,Lvl,3,Inside,2,Edwards,Norm,1Fam,SFoyer,5,5,1976,1976,Gable,HdBoard,Plywood,BrkFace,222.0,2,2,CBlock,4,4,4,5,456.0,1,0.0,0.0,456.0,4,4,1033,0,0,1033,0.0,1.0,1,0,3,1,2,7,0,BuiltIn,2,504.0,2,3,2,224,0,0,0,0,0,0,0,4,2008,WD 
434,C060,RL,41.0,10905,1,Lvl,3,CulDSac,2,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1129.0,1129.0,4,4,1129,1198,0,2327,0.0,0.0,2,1,4,1,3,7,4,BuiltIn,2,596.0,3,3,2,0,57,0,0,0,0,0,0,8,2008,WD 
435,C020,RL,69.0,9556,2,Lvl,3,Corner,2,Gilbert,Norm,1Fam,1Story,7,5,1992,1993,Gable,HdBoard,HdBoard,BrkFace,52.0,2,2,PConc,4,3,1,1,0.0,1,0.0,1168.0,1168.0,3,4,1187,0,0,1187,0.0,0.0,2,0,3,1,3,7,0,Attchd,2,420.0,3,3,2,0,21,0,0,0,0,0,0,8,2007,WD 
436,C190,RH,58.0,6430,3,Bnk,3,Corner,2,SWISU,Feedr,2fmCon,1.5Fin,6,6,1945,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,3,4,780.0,1,0.0,0.0,780.0,2,2,816,524,0,1340,1.0,0.0,1,0,3,1,2,7,0,Attchd,1,440.0,3,3,2,0,0,0,0,0,0,0,0,7,2006,WD 
437,C090,RL,65.0,6040,3,Lvl,3,Inside,2,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,0.0,2,2,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,2,1,1152,0,0,1152,0.0,0.0,2,0,2,2,1,7,0,NA,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,2008,WD 
438,C020,RL,80.0,14695,2,Lvl,3,Inside,2,NAmes,Norm,1Fam,1Story,6,8,1966,2008,Gable,MetalSd,MetalSd,BrkFace,210.0,2,3,CBlock,3,3,1,5,1387.0,1,0.0,175.0,1562.0,3,4,1567,0,0,1567,1.0,0.0,2,0,2,1,3,7,4,Attchd,1,542.0,3,3,2,0,110,0,0,342,0,2,0,7,2009,WD 
439,C070,RM,50.0,9000,3,Lvl,3,Inside,2,OldTown,Artery,1Fam,2Story,7,9,1920,1988,Hip,VinylSd,VinylSd,None,0.0,2,3,PConc,3,3,1,5,624.0,1,0.0,26.0,650.0,4,4,832,650,0,1482,0.0,1.0,1,0,3,1,2,7,0,Detchd,1,324.0,3,3,2,0,0,0,0,0,0,0,0,7,2009,WD 
440,C020,RL,67.0,8368,2,HLS,3,Inside,2,Timber,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1689.0,1689.0,4,4,1689,0,0,1689,0.0,0.0,2,0,3,1,3,7,0,Attchd,3,433.0,3,3,2,100,39,0,0,0,0,0,0,4,2007,New
441,C190,RL,195.0,41600,2,Lvl,3,FR2,2,Gilbert,Norm,2fmCon,1Story,5,5,1969,1990,Gable,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,3,4,5,1047.0,1,0.0,53.0,1100.0,2,4,1424,0,0,1424,1.0,0.0,1,1,3,1,2,4,0,2Types,1,828.0,3,3,0,144,0,0,0,0,0,0,0,11,2007,WD 
442,C020,RL,59.0,6490,3,Lvl,3,Inside,2,Mitchel,Norm,1Fam,1Story,5,7,1983,1983,Gable,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,1,6,534.0,1,0.0,282.0,816.0,4,4,816,0,0,816,0.0,1.0,1,0,2,1,2,7,0,Attchd,1,264.0,3,3,2,315,0,0,0,0,0,2,0,4,2008,WD 
443,C030,RL,60.0,7290,3,Lvl,3,Corner,2,SWISU,Norm,1Fam,1Story,7,8,1921,1950,Gable,WdShing,Wd Shng,BrkFace,174.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,1228.0,1228.0,4,4,1424,0,0,1424,0.0,0.0,2,0,2,1,2,7,4,Attchd,1,312.0,3,3,2,0,0,90,0,0,0,0,0,4,2008,WD 
444,C060,RL,69.0,7472,2,Lvl,3,CulDSac,2,NAmes,Norm,1Fam,2Story,7,9,1972,2004,Gable,HdBoard,HdBoard,BrkFace,138.0,2,2,CBlock,3,3,1,5,626.0,1,0.0,99.0,725.0,3,4,725,754,0,1479,1.0,0.0,1,1,4,1,3,7,0,Attchd,3,484.0,3,3,2,0,32,0,0,0,0,0,0,6,2007,WD 
445,C190,RL,70.0,7000,3,Lvl,3,Inside,2,NAmes,Artery,2fmCon,SFoyer,5,5,1962,1962,Gable,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,3,5,953.0,1,0.0,72.0,1025.0,2,4,1025,0,0,1025,1.0,0.0,1,0,3,1,2,7,0,NA,0,0.0,0,0,2,96,80,0,0,0,0,0,0,3,2006,WD 
446,C020,RL,69.0,11717,2,Lvl,3,Inside,2,NWAmes,PosA,1Fam,1Story,6,6,1970,1970,Hip,HdBoard,HdBoard,BrkFace,571.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,1442.0,1442.0,2,4,1442,0,0,1442,0.0,0.0,2,0,2,1,2,7,3,Attchd,2,615.0,3,3,2,371,0,0,0,0,0,0,0,2,2009,WD 
447,C060,RL,106.0,11194,2,Lvl,3,Corner,2,Gilbert,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,40.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1406.0,1406.0,4,4,1454,482,0,1936,0.0,0.0,2,1,3,1,3,7,3,Attchd,2,504.0,3,3,2,188,124,0,0,0,0,0,0,11,2006,WD 
448,C060,RL,90.0,11250,2,Lvl,3,Corner,2,CollgCr,Norm,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,227.0,2,2,PConc,4,3,2,5,796.0,1,0.0,258.0,1054.0,4,4,1070,869,0,1939,0.0,1.0,2,1,3,1,3,7,3,Attchd,2,555.0,3,3,2,128,84,0,0,0,0,0,0,5,2006,WD 
449,C060,RL,64.0,8633,3,Lvl,3,FR2,2,CollgCr,Norm,1Fam,2Story,6,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,193.0,1,0.0,545.0,738.0,4,4,738,738,0,1476,1.0,0.0,2,1,3,1,3,7,0,Attchd,3,540.0,3,3,2,100,35,0,0,0,0,0,0,2,2009,WD 
450,C085,RL,70.0,8400,3,Lvl,3,Inside,2,NAmes,Feedr,1Fam,SFoyer,5,6,1968,1968,Gable,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,3,4,6,744.0,1,0.0,89.0,833.0,3,4,898,0,0,898,1.0,0.0,1,0,3,1,2,7,0,Attchd,2,326.0,3,3,2,143,0,0,0,0,0,0,0,8,2006,WD 
451,C020,RL,87.0,10037,3,Lvl,3,Corner,2,Somerst,Feedr,1Fam,1Story,8,5,2006,2007,Hip,VinylSd,VinylSd,None,0.0,3,2,PConc,5,3,1,6,666.0,1,0.0,794.0,1460.0,4,4,1460,0,0,1460,0.0,0.0,2,0,3,1,3,7,4,Attchd,3,480.0,3,3,2,0,20,0,0,0,0,0,0,8,2008,WD 
452,C085,RL,69.0,8014,2,Lvl,3,CulDSac,2,Sawyer,Norm,1Fam,SFoyer,6,5,1978,1978,Gable,Plywood,HdBoard,BrkFace,23.0,2,2,CBlock,4,3,4,6,456.0,1,0.0,0.0,456.0,2,4,1034,0,0,1034,0.0,1.0,1,0,3,1,2,7,2,Basment,3,504.0,3,3,2,0,0,0,0,0,0,0,0,6,2009,WD 
453,C020,RL,69.0,12250,2,Lvl,3,Inside,2,CollgCr,Norm,1Fam,1Story,5,6,1978,1978,Gable,HdBoard,HdBoard,BrkFace,180.0,2,2,CBlock,4,3,2,5,781.0,1,0.0,83.0,864.0,4,4,1174,0,0,1174,1.0,0.0,1,0,3,1,2,7,0,Attchd,1,528.0,3,3,2,211,0,280,0,0,0,0,0,5,2008,WD 
